agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-CEF-111,163,"Renforcer l'immunization de l'enfant en R.D. du Congo.","Middle Africa",M,2000000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-CEF-108,160,"Approvisionnement en eau potable et assainissement du milieu pour les populations vulnérables affectés par le conflit.","Middle Africa",M,2200000.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-CEF-140,164,"Soins de santé primaire d'urgence","Middle Africa",M,500000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,COD,"Democratic Republic of the Congo",2006-07-14,Multiple,06-HCR-116,152,"Emergency Assistance to Returning Refugees and IDPs in South Kivu","Middle Africa",M,1150538.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-CEF-210,232,"Mécanismes de réponse rapide
Evaluations et Interventions Humanitaires d'urgence","Middle Africa",M,4900000.0,"Underfunded Emergencies",2006,Protection,Protection,"",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-FAO-212,194,"Retour des réfugieés et assistance agricole à base communautaire pour la réintegration durable des réfugiés","Middle Africa",M,1300000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-09-11,"Disruption of basic services",06-CEF-207,229,"Rèhabilitation nutritionnelle","Middle Africa",M,1000000.0,"Underfunded Emergencies",2006,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-FAO-211,193,"Assistance in food security in seven post conflict zones with inadequate humanitarian coverage","Middle Africa",M,700000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-09-11,"Disruption of basic services",06-CEF-208,230,"Soins de santè primaires d'urgence/Faire reculer le paludisme ","Middle Africa",M,3420000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2006-10-02,"Disruption of basic services",06-WHO-247,260,"Strengthening epidemiological surveillance in the East ","Middle Africa",M,2000000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2006-10-02,"Disruption of basic services",06-WHO-248,261,"Renforcement de ;a surveillance épidémioogique des maladies dans l'est de la RDC","Middle Africa",M,500000.0,"Underfunded Emergencies",2006,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-CEF-209,231,"Approvisionnement en eau potable et assainissement du milieu pour les populations vulnérables affectées par le conflict.","Middle Africa",M,500000.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations High Commissioner for Refugees",Africa,COD,"Democratic Republic of the Congo",2006-09-15,Displacement,06-HCR-259,215,"Retour des refugiees et assistance a base communitaire pour la reintegration durable des refugies","Middle Africa",M,1900000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,COD,"Democratic Republic of the Congo",2006-09-15,Displacement,06-HCR-258,217,"Retour des réfugiés et assistance à base communautaire pour la réintégration durable des réfugiés. ","Middle Africa",M,250000.0,"Underfunded Emergencies",2006,Protection,Protection,"",""
"International Organization for Migration",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-IOM-215,199,"Rehabilitation of common infrastructure to facilitate aid and return to IDPs","Middle Africa",M,680000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Development Programme",Africa,COD,"Democratic Republic of the Congo",2006-09-22,Displacement,06-UDP-262,203,"Retour des réfugiés à base communautaire pour la réintégration durable des réfugiés.","Middle Africa",M,1000000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WFP-107,177,"Establishment of a UN Joint Logistics Centre providing assistance in Logistics Coordination and Operational  preparedness to Humanitarian Agencies","Middle Africa",M,324000.0,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WFP-105,173,"Réhabilitation nutritionelle","Middle Africa",M,3000000.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-CEF-109,161,"Programme d'éducation aux dangers des mines et des munitions non explosées en DRC.","Middle Africa",M,200000.0,"Underfunded Emergencies",2006,"Mine Action","Mine Action","",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-WFP-213,246,"Augment trucking capacity for the Katanga emergency","Middle Africa",M,2200000.0,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2006-10-02,"Disruption of basic services",06-WHO-250,262,"Emergency Immunization response to polio outbreak in DRC","Middle Africa",M,500000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WHO-104,185,"Renforcement de la decentralisation de l'OMS dans les provinces","Middle Africa",M,225000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WFP-106,180,"Management of Logistic Clusters in DRC","Middle Africa",M,450000.0,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-FAO-113,130,"Appui à la coordination des opérations agricoles d'urgence et renfocement du système d'information et d'alerte rapide et d'évaluation de la sécurité alimentaire","Middle Africa",M,300000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-FAO-114,131,"Renforcer les mécanismes de survie des mènages ciblés","Middle Africa",M,3000000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2006-06-19,"Disruption of basic services",06-HCR-081,146,"Humanitarian assistance to refugees in the Central African Republic","Middle Africa",M,100000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-06-19,Multiple,06-CEF-084,155,"Rapid response and support to information management through Humanitarian Relays","Middle Africa",M,66043.52,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"United Nations Population Fund",Africa,CAF,"Central African Republic",2006-06-15,"Disruption of basic services",06-FPA-083,139,"Reducing maternal and neonatal mortality through the provision of quality EmOC services in conflict-affected zones of Ouham and Ouham-Pende","Middle Africa",M,251450.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-07-28,Displacement,06-CEF-062,69,"Emergency life saving assistance to the IDPs in the prefectures of Ouham Pendé","Middle Africa",M,369750.0,"Rapid Response",2006,Shelter,"Emergency Shelter and NFI","",""
"World Food Programme",Africa,CAF,"Central African Republic",2006-07-28,Displacement,06-WFP-061,98,"Assistance to the longstanding affected population in north western regions of CAR","Middle Africa",M,1200000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,CAF,"Central African Republic",2006-09-14,"Disruption of basic services",06-WHO-183,252,"Préparation et reponse aux aspects sanitaires des crises et catastrophes","Middle Africa",M,130000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,CAF,"Central African Republic",2006-09-11,"Disruption of basic services",06-WHO-184,259,"Renforcement de la prévention de les maladies transmissibles de l'enfance au sein des FOSA","Middle Africa",M,341420.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-09-11,"Disruption of basic services",06-CEF-186,236,"Amélioration de l'accès à l'eau potable et à l'assainissement de la préfecture de l'Ouham-Pendé ","Middle Africa",M,194723.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-09-11,"Disruption of basic services",06-CEF-185,235,"Prévention de la propagation des IST-VIH-SIDA","Middle Africa",M,213134.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-09-11,"Disruption of basic services",06-CEF-187,237,"Réoverture des Sous-Bureaux de Bossangoa et Kaga Bandoro","Middle Africa",M,169152.0,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"World Health Organization",Africa,CAF,"Central African Republic",2006-06-21,"Disruption of basic services",06-WHO-082,186,"Coordination of health programmes in emergency situation in CAR","Middle Africa",M,261294.0,"Underfunded Emergencies",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,CAF,"Central African Republic",2006-06-22,Displacement,06-FAO-064,12,"Emergency seeds and tools assistance to IDPs for subsistence farming resumption in Northern Ouham/Ouham Pendé","Middle Africa",M,193200.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2006-09-08,"Disruption of basic services",06-HCR-188,211,"Projet de protection pour les personnes deplacées au Nord de la RCA","Middle Africa",M,200000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Population Fund",Africa,CAF,"Central African Republic",2006-09-14,"Disruption of basic services",06-FPA-182,207,"Prévention des IST/VIH/SIDA chez les adolescents-jeunes dans la zone affectée par les conflicts armés dans l""Ouham-Pende","Middle Africa",M,115000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Population Fund",Africa,CAF,"Central African Republic",2006-09-14,"Disruption of basic services",06-FPA-181,209,"Prise en charge médico-psychosociales des victimes de violences sexuelles","Middle Africa",M,100000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Development Programme",Africa,CAF,"Central African Republic",2006-10-17,"Disruption of basic services",06-UDP-281,279,"Projet de distribution de biens alimentaires et fourniture de soins de sante","Middle Africa",M,149300.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2006-08-22,Displacement,06-HCR-160,40,"Emergency food assistance and transportation of food to sudanese refugees in Mboki","Middle Africa",M,266149.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-06-19,"Disruption of basic services",06-CEF-085,156,"Water and sanitation and prevention of HIV/AIDS among young people","Middle Africa",M,320998.47,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"World Health Organization",Africa,CAF,"Central African Republic",2006-07-28,"Disruption of basic services",06-WHO-060,122,"Emergency basic health provision to IDPs and local population in nmorthern Ouham and Ouham Pendé","Middle Africa",M,247170.0,"Rapid Response",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2006-07-31,Displacement,06-HCR-147,41,"Life-saving protection activities for the internally-displaced population in the prefectures of Ouham and Ouham-Pende in Northern CAR","Middle Africa",M,150000.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-10-17,"Disruption of basic services",06-CEF-278,276,"Relance du programme élargi de vaccination","Middle Africa",M,140000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2006-07-28,Displacement,06-CEF-149,70,"Life-saving protection activities for IDPs in the prefectures of Ouham and Ouham-Pendé in northern CAR.","Middle Africa",M,80250.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,CAF,"Central African Republic",2006-10-17,"Disruption of basic services",06-FAO-279,277,"Improved Food security for affected households of Markounda","Middle Africa",M,100000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"World Food Programme",Africa,CAF,"Central African Republic",2006-10-18,"Disruption of basic services",06-WFP-280,278,"Provision of safe, efficient and sufficient air transport services to the humanitarian community in CAR","Middle Africa",M,150000.0,"Underfunded Emergencies",2006,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2006-06-23,Displacement,06-CEF-073-1,65,"Emergency support to IDPs in Eastern Chad","Middle Africa",M,588430.0,"Rapid Response",2006,Education,Education,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2006-06-28,"Disruption of basic services",06-CEF-073-2,66,"Emergency support to internally displaced persons in Eastern Chad","Middle Africa",M,594000.0,"Rapid Response",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2006-06-23,Displacement,06-CEF-074,157,"Emergency support to refugees from Central African Republic in Southern Chad","Middle Africa",M,583000.0,"Underfunded Emergencies",2006,Education,Education,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2006-06-23,Displacement,06-CEF-073-3,67,"Emergency support to internally displaced persons in Eastern Chad","Middle Africa",M,687632.0,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,TCD,Chad,2006-06-23,Displacement,06-WFP-068,170,"WFP Chad protracted relief and recovery operation (PRRO) 10510.0 Assistance to Central African refugees in Southern Chad","Middle Africa",M,998310.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
