India;Hassan Group;Bahrain;Food crops;[2010] Concluded (Contract signed);1000;Banana, Rice, Sugar Cane
India;Adani Group;India;Industry, Other (please specify);[2008] Intended (Under negotiation);293;
India;Essar Group;India;Industry;;;
India;Tata Steel ltd, Tata Sons Ltd.;India;Industry;[2013] Intended (Under negotiation);;
India;H.N.Company;India;Industry, Other (please specify);[2014] Concluded (Oral Agreement);;
India;Indiabulls Infrastructure, Maharashtra Industrial Development Corporation Ltd;India;Industry;[2006] Concluded (Contract signed);600;
India;Karnataka Industrial Areas Development Board (KIADB);India;Industry;Concluded (Contract signed);;
India;JSL Ltd;India;Industry;Concluded (Oral Agreement);446;
India;JSW Steel;India;Industry;Concluded (Contract signed);1740;
India;Jindal Steel & Power Ltd. (JSPL);India;Industry;Concluded (Contract signed);614;
India;Monnet Ispat & Energy Ltd.;India;Industry;Concluded (Contract signed);228;
India;City & Industrial Development Corporation of Maharashtra Limited (CIDCO), Maharashtra Industrial Development Corporation Ltd, Nagpur Improvement Trust (NIT), Maharashtra State Road Transport Corporation (MSRTC/ST), Nagpur Municipal Corporation (NMC);India;Industry;Concluded (Oral Agreement);2873;
India;Maharashtra Industrial Development Corporation Ltd, Infrastructure Leasing & Financial Services Limited (IL&FS);India;Industry;Concluded (Contract signed);728;
India;Maharashtra Industrial Development Corporation Ltd, Infrastructure Leasing & Financial Services Limited (IL&FS);India;Food crops;[2008] Intended (Under negotiation);;
India;Mahindra Reality developers, Maharashtra Industrial Development Corporation Ltd;India;Industry;[2012] Failed (Negotiations failed);0;
India;Areva S.A., Nuclear Power Corporation of India Ltd. (NPCIL);France, India;Industry;[2015] Concluded (Contract signed);938;
India;Essel Group;India;Tourism;[2008] Concluded (Oral Agreement);110;
India;Pondicherry SEZ Co Ltd, SUBHASH PROJECTS AND MARKETING LIMITED (SPML), OM METALS INFRAPROJECTS LIMITED (OMIL), PONDICHERRY INDUSTRIAL PROMOTION DEVELOPMENT AND INVESTMENT CORPORATION LIMITED(PIPDIC);India;Industry;[2013] Failed (Contract canceled);121;
India;POSCO;Republic of Korea;Industry;[2005] Concluded (Oral Agreement);688;
India;HSIIDC Limited, Reliance Industries Ltd (RIL);India;Industry;[2012] Failed (Contract canceled);2799;
India;Reliance Infrastructure Ltd;India;Industry, Renewable Energy;Concluded (Contract signed);4544;
India;West Bengal Industrial Development Corporation (WBIDC), New Kolkata International Development Pvt. Ltd. (NKID);India;Industry;[2008] Concluded (Oral Agreement);;
India;State Industries Promotion Corporation of Tamil Nadu (Sipcot) ;India;Industry;Concluded (Contract signed);851;
India;SKIL Infrastructure Limited;India;Industry;[2006] Concluded (Oral Agreement);;
India;SKIL Infrastructure Limited;India;Industry;[2007] Concluded (Oral Agreement);;
India;Tata Sons Ltd.;India;Industry;[2014] Intended (Under negotiation);1764;
India;Tata Sons Ltd.;India;Industry;[2004] Concluded (Oral Agreement);1405;
India;Vedanta Resources, Odisha Mining Corporation Limited (OMC);United Kingdom of Great Britain and Northern Ireland, India;Industry;Concluded (Oral Agreement);1494;
India;Videocon Industries Limited;India;Industry;[2012] Failed (Contract canceled);202;
India;Clenergen Corporation;United States of America;Biofuels, Renewable Energy;[2010] Concluded (Contract signed);3642;Bamboo, Trees
India;Energea GmbH, FE Clean Energy Group ;Austria, United States of America;Biofuels, Food crops, Non-food agricultural commodities;[2005] Intended (Under negotiation);;Rapeseed, Pongamia Pinnata, Jatropha, Oil Palm, Soya Beans, Vegetables
India;Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC);India;Industry;[2007] Concluded (Contract signed);3758;
India;Southern Online Bio Technologies Ltd.;India;Biofuels, Industry;[2003] Intended (Under negotiation);7;Pongamia Pinnata, Jatropha
India;United Infrastructure Pvt Ltd;India;Food crops, Industry;[2006] Concluded (Oral Agreement);;Soya Beans
India;Tata Sons Ltd.;India;Industry;[2006] Concluded (Oral Agreement);405;
India;Tata Sons Ltd.;India;Industry;[2008] Concluded (Contract signed);445;
India;T. Shivaleekha Biotech Private Limited;India;Biofuels;[2005] Concluded (Contract signed);323;Jatropha
India;Rajasthan Industrial Development Corporation (RIICO), Mahindra Group;India;Industry;Concluded (Contract signed);1214;
India;Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC);India;Industry;[2001] Concluded (Contract signed);465;
India;Bannari Amman Group;India;Biofuels;Concluded (Contract signed);;Jatropha
India;Karnataka Industrial Areas Development Board (KIADB), Kanara Chamber of Commerce & Industry (KCCI), Oil and Natural Gas Corporation Ltd., Infrastructure Leasing & Financial Services Limited (IL&FS);India;Industry;Concluded (Contract signed);728;
India;Nandan Cleantec PLC;United Kingdom of Great Britain and Northern Ireland;Biofuels;Concluded (Contract signed);40800;Jatropha
India;Bharat Petroleum Corporation Ltd, Shapoorji Pallonji Corporation Ltd, Nandan Cleantec PLC;India, United Kingdom of Great Britain and Northern Ireland;Biofuels;Concluded (Contract signed);;Jatropha
India;Jindal Steel & Power Ltd. (JSPL);India;Industry;Concluded (Contract signed);964;
India;Jindal Steel & Power Ltd. (JSPL);India;Industry;Concluded (Contract signed);705;
India;Reliance Industries Ltd (RIL);India;Industry;[2013] Intended (Under negotiation);1874;
India;Sanghi SEZ Private Limited;India;Industry;Concluded (Contract signed);1189;
India;Brandix Lanka Limited;Sri Lanka;Industry;Concluded (Contract signed);405;
India;Sri City Pvt. Ltd. ;India;Industry;Concluded (Oral Agreement);1023;
India;MAS Holdings;Sri Lanka;Industry;[2008] Concluded (Contract signed);;
India;Rassai Properties & Industries Limited;India;Industry;Concluded (Contract signed);366;
India;Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC);India;Industry;[2009] Concluded (Contract signed);1032;
India;Penna Cement Industries Ltd (PCIL), Ras Al Khaimah Investment Authority;India, United Arab Emirates;Industry;Concluded (Contract signed);;
India;JSW Aluminium Limited;India;Industry;Concluded (Contract signed);240;
India;Krishnapatnam Infratech Pvt. Ltd., Navayuga Group;India;Industry;Concluded (Contract signed);1023;
India;Dahej SEZ Ltd. (M/s. Gujarat Industrial Development Corpn.), Oil and Natural Gas Corporation Ltd., Gujarat Industrial Development Corporation (GIDC) ;India;Industry;Concluded (Contract signed);1704;
India;Cadila Pharmaceuticals Limited;India;Industry;Concluded (Contract signed);200;
India;Essar Group;India;Industry;[2008] Failed (Contract canceled);;
India;N.G. Realty Pvt.Ltd.     ;India;Industry;[2007] Concluded (Contract signed);217;
India;Chervil Infrastructure Private Limited ;India, Singapore;Industry;Concluded (Contract signed);220;
India;Sandesara Group;India;Industry;[2008] Concluded (Contract signed);1263;
India;Karnataka Industrial Areas Development Board (KIADB);India;Industry;Concluded (Contract signed);203;
India;Karnataka Industrial Areas Development Board (KIADB);India;Industry;[2012] Intended (Expression of interest);;
India;Tanti Holdings Private Limited;India;Industry;Concluded (Contract signed);259;
India;Maharashtra Industrial Development Corporation Ltd;India;Industry;[2009] Concluded (Contract signed);1010;
India;Maharashtra Industrial Development Corporation Ltd;India;Industry;Concluded (Contract signed);139;
India;Sinima Meadows Limited;;Industry;Concluded (Contract signed);;
India;Viraj Profiles Ltd;India;Industry;Failed (Contract canceled);235;
India; Hoosain Nensey Nathoo & Co.;India;Industry, Other (please specify), Tourism;[2007] Intended (Under negotiation);;
India;Bharat Forge Ltd, Maharashtra Industrial Development Corporation Ltd;India;Industry;Concluded (Contract signed);1700;
India;JSW Jaigarh Port Limited;India;Industry;Concluded (Contract signed);226;
India;Marathon Pachin Infrastructure;;Industry, Other (please specify);Concluded (Contract signed);400;
India;Jawaharlal Nehru Port Trust (JNPT) ;India;Industry;Concluded (Contract signed);277;
India;Tamil Nadu Industrial Development Co. Ltd.;India;Industry;Concluded (Contract signed);;
India;AMR India Limited, Tamil Nadu Industrial Development Co. Ltd.;India;Industry;Concluded (Contract signed);1020;
India;GVK Power & Infrastructure Ltd, Tamil Nadu Industrial Development Co. Ltd.;India;Industry;[2016] Failed (Contract canceled);1174;
India;Sojitz Group, Daiwa House Industry Co., Ltd, Kobelco Eco-Solutions Co.,, Dong Nai Import-Export Processing Agriculture products and Foods Co. (Donafoods);Japan, Viet Nam;Industry;[2008] Concluded (Oral Agreement);486;
India;State Industrial Development Corporation of Uttaranchal Ltd, Eldeco Infrastructure & Properties Ltd;India;Industry;Concluded (Contract signed);486;
Argentina;Corfone SA;Argentina;For wood and fibre;[2004] Concluded (Contract signed);10000;Pine, Trees
Argentina;Harriet S.A.;Argentina;For wood and fibre;[2007] Concluded (Contract signed);4000;Pine, Trees
Argentina;Oscar Rubén Gauna;Argentina;Food crops;[2005] Concluded (Contract signed);595;Soya Beans
Argentina;Orlando Canido;Argentina;Food crops;[2007] Failed (Negotiations failed);;Soya Beans
Argentina;Joseph Lewis;United Kingdom of Great Britain and Northern Ireland;Tourism;[2006] Concluded (Contract signed);15000;
Argentina;Grupo Burco;Belgium;Tourism;[2008] Concluded (Contract signed);21853;
Argentina;Heilongjiang State Farms Beidahuang Group;China;Food crops;[2011] Failed (Contract canceled);320000;Rapeseed, Wheat, Soya Beans
Argentina;AgroGeneration, La Suerte Agro SA;France, Argentina;Food crops;[2012] Concluded (Contract signed);14000;Cereals (no specification)
Argentina;Walbrook;Malaysia;Food crops, Tourism;[2001] Concluded (Contract signed);468000;Seed Production, Potatoes
Argentina;Sojitz Group;Japan;Food crops;[2010] Concluded (Contract signed);11000;Corn (Maize), Soya Beans, Wheat
Argentina;Alkhorayef Group;Saudi Arabia;Food crops;[2011] Concluded (Contract signed);200000;Cereals (no specification), Sorghum, Rice (hybrid), Soya Beans, Wheat
Argentina;Ted Turner;United States of America;Conservation;[2000] Concluded (Contract signed);38000;
Argentina;Bema Agri BV;Netherlands;Food crops;[2008] Concluded (Oral Agreement);1000;Sorghum, Soya Beans
Argentina;Salentien;Netherlands;Non-food agricultural commodities;[2002] Concluded (Contract signed);1775;Vineyard
Bolivia (Plurinational State of);Cresud S.A.;Argentina;Agriunspecified, Food crops;[2008] Concluded (Contract signed);16255;Soya Beans, Sugar Cane
Bolivia (Plurinational State of);El Tejar Ltd.;Argentina;Agriunspecified, Food crops;[2002] Concluded (Contract signed);5700;Soya Beans
Bolivia (Plurinational State of);Shanghai Pengxin Group Co., Ltd;China;Food crops;[2005] Concluded (Contract signed);12500;Sorghum, Corn (Maize), Soya Beans
Brazil;El Tejar Ltd.;Argentina;Food crops;[2003] Concluded (Contract signed);300000;Cotton, Corn (Maize), Soya Beans, Wheat
Brazil;Maquarie Group Ltda;Australia;Food crops;[2014] Concluded (Contract signed);37000;Corn (Maize), Grains, Soya Beans, Sugar Cane, Wheat
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Agriunspecified;[2007] Concluded (Contract signed);24211;Soya Beans, Trees
Brazil;Grupo Orsa;Brazil;For wood and fibre;[2003] Concluded (Contract signed);545000;
Brazil;Chongqing Grain Group;China;Food crops;[2011] Failed (Negotiations failed);;Soya Beans
Brazil;Afirma/Quabit Inmobiliaria SA,  Juan Ripoll Group (Grupo JR Ltda) ;Spain, Brazil;Tourism;[2008] Intended (Under negotiation);;
Brazil;Louis Dreyfus Group;Netherlands;Non-food agricultural commodities;[2005] Concluded (Contract signed);30000;Citrus Fruits
Brazil;Mitsui & Co Ltd.;Japan;Food crops;[2007] Concluded (Contract signed);9864;Corn (Maize), Soya Beans
Brazil;Mitsui & Co Ltd.;Japan;Food crops;[2007] Concluded (Contract signed);75075;Cotton, Soya Beans
Brazil;Hyundai Corporation;Republic of Korea;Food crops;[2010] Intended (Under negotiation);;Soya Beans
Brazil;South American Soy LLC;United States of America;Food crops;[2003] Concluded (Contract signed);1416;Soya Beans
Brazil;Stora Enso, Fibria;Finland, Brazil;For wood and fibre;[2006] Concluded (Contract signed);150000;Eucalyptus
Brazil;Grupo Randobel;Brazil;For wood and fibre;[2011] Concluded (Contract signed);35000;
Brazil;Stora Enso;Finland;For wood and fibre;[2004] Concluded (Contract signed);45700;Eucalyptus
Brazil;Stora Enso, Fibria;Finland, Brazil;For wood and fibre;[2005] Concluded (Contract signed);100000;Eucalyptus
Brazil;Royal Dutch Shell, Cosan Industria e Comercio SA;Netherlands, Brazil;Biofuels;[2010] Concluded (Contract signed);860000;Sugar Cane
Brazil;Shanghai Pengxin Group Co., Ltd;China;Food crops;[2011] Intended (Under negotiation);;Cotton, Soya Beans
Brazil;Genagro Ltd, Brasil Agronegócio FIP;United Kingdom of Great Britain and Northern Ireland, Brazil;Food crops;[2009] Concluded (Contract signed);26948;Corn (Maize), Soya Beans
Brazil;Shree Renuka Sugars, Grupo Equipav;India, Brazil;Biofuels, Food crops;[2010] Concluded (Contract signed);78000;Sugar Cane
Brazil;Novo Mercado, Cresud S.A.;Brazil, Argentina;Biofuels;[2006] Concluded (Contract signed);27807;Grains
Brazil;Novo Mercado, Cresud S.A.;Brazil, Argentina;Food crops;[2015] Concluded (Contract signed);4263;Sugar Cane
Brazil;Archer Daniels Midland Co.;United States of America;Biofuels;[2011] Concluded (Contract signed);1300;Oil Palm
Brazil;Soros Fund Management, Qatar Investment Authority (QIA);United States of America, Qatar;Biofuels, Food crops;[2006] Concluded (Contract signed);13281;Sugar Cane
Brazil;Biogreen Oil B.V. ;Netherlands;Biofuels;[2008] Concluded (Contract signed);4400;Jatropha
Brazil;BFP International (Biofuel Projects International), Plant a. Bio ;Netherlands, Brazil;Biofuels;[2008] Concluded (Contract signed);5000;Jatropha
Brazil;Floresteca Holding N.V. ;Netherlands;For wood and fibre;[2000] Concluded (Contract signed);109000;Teak
Brazil;FIAM N.V. - Forestry Investment and Asset Management N.V;Netherlands;For wood and fibre;[2007] Concluded (Contract signed);40000;Trees
Brazil;Forest Returns;Netherlands;Forestunspecified;[2007] Concluded (Contract signed);7000;Trees
Chile;Arauco SA;Chile;For wood and fibre;[2005] Concluded (Contract signed);265269;Eucalyptus, Pine
Chile;Aceites Borges, Olivo Noble S.A.;Spain;Food crops;[2001] Concluded (Contract signed);800;Olives
Chile;Grupo Torres;Spain;Food crops;[2003] Concluded (Contract signed);406;Grapes
Colombia;Carlos Murgas Guerrero, Dalessa International Inc., Directstar International Inc.;Colombia, Panama, Argentina;Biofuels;[2001] Concluded (Contract signed);1814;Oil Palm
Colombia;Aportes San Isidro SAS, C.I. Tequendama S.A.S;Colombia;Biofuels;[2007] Concluded (Contract signed);1717;Oil Palm
Colombia;Corporación Amigos de los Montes de Maria;Colombia;Food crops, Livestock;[2008] Concluded (Contract signed);60000;Fodder Plants
Colombia;Urapalma;Colombia;Biofuels;[2001] Concluded (Contract signed);20000;Oil Palm
Colombia;Juan Guillermo Velez Jaramillo;Colombia;Food crops;[2008] Concluded (Contract signed);984;Corn (Maize)
Costa Rica;Central American Timber Fund;Luxembourg;For carbon sequestration/REDD, For wood and fibre;[2000] Concluded (Contract signed);7000;Teak
Costa Rica;Forest Returns;Netherlands;Conservation, For wood and fibre, Tourism;[2004] Concluded (Contract signed);1114;Teak, Trees
Cuba;Suntime International Techno-Economic Cooperation (Group) Co., Ltd.;China;Food crops;[2008] Concluded (Contract signed);5000;Rice
Guatemala;Bionor Tranformación SA;Spain;Biofuels;[2007] Concluded (Contract signed);473;Jatropha
Guatemala;Agro Industrias Hame (Corporación Olmeca);Guatemala;Biofuels;[2008] Concluded (Contract signed);40000;Oil Palm
Guatemala;Inversiones de Desarrollo S.A INDESA (Grupo Maegli);Guatemala;Biofuels;[2000] Concluded (Oral Agreement);6300;Oil Palm
Guatemala;Nacional AgroIndustrial S.A (NAISA);Guatemala;Biofuels, Food crops;[2008] Concluded (Contract signed);9338;Oil Palm
Guatemala;NaturAceites SA.;Guatemala;Food crops, Non-food agricultural commodities;[2006] Concluded (Oral Agreement);8219;Oil Palm
Guatemala;Tikindustrias (Grupo del Ingenio Azucarero El Pilar);Guatemala;Food crops, Non-food agricultural commodities;[2005] Concluded (Contract signed);4600;Oil Palm
Guatemala;Arriola Fuxet Family Group, Torrebiarte Family Group, Green Earth Fuels LLC;Guatemala, United States of America;Biofuels, Food crops;[2011] Concluded (Contract signed);7500;Oil Palm
